id_individual,employer_id,contribution_year,contribution,num_contribution,mm_contribution,compensation,cont_type,work_area,activity_code
357,15828,2001,4836,11,011111111111,37200,1,2,1
567,17265,2001,564,4,000000001111,4338,1,3,17
781,3106,2001,11,1,000100000000,85,1,1,32
801,14351,2001,9938,9,111111111000,76444,1,2,1
1105,2638,2001,92,1,000000001000,708,1,3,14
1105,3053,2001,7,1,000100000000,56,1,2,26
1105,16928,2001,2610,5,010100101001,20078,1,1,36
1105,24960,2001,286,2,001010000000,2200,1,3,14
1496,26769,2001,6,1,000100000000,57,1,1,1
1593,13324,2001,6284,11,011111111111,48340,1,1,34
1810,,2001,1599,5,,12792,2,4,-9
1974,17901,2001,45,2,001100000000,350,1,3,1
2162,8495,2001,437,4,000000100111,3361,1,3,36
2166,,2001,376,2,,2892,2,2,-9
2396,16975,2001,1549,1,000000000001,15494,1,1,1
2437,3594,2001,6579,5,000111110000,50605,1,1,36
2694,11262,2001,591,5,000000011111,4545,1,2,34
3059,24363,2001,7644,7,011111110000,76441,1,2,1
3113,,2001,612,3,,4707,2,1,-9
3272,13557,2001,2014,11,011111111111,15494,1,4,1
3282,16173,2001,368,2,000000000011,2833,1,1,36
3282,22949,2001,19,1,000000000100,186,1,1,14
3282,,2001,92,1,,708,2,1,-9
3554,11545,2001,2686,1,000000000001,20658,1,1,13
3554,24269,2001,8301,2,000100000001,63854,1,1,1
3598,27548,2001,20,8,111110101100,151,1,2,32
3965,23609,2001,604,1,000000000001,4646,1,1,1
4357,14446,2001,25,1,000000000001,195,1,1,14
4450,,2001,577,3,,4439,2,3,-9
4481,2322,2001,187,4,000000001111,1438,1,4,1
4612,21924,2001,1,1,000000000100,8,1,2,32
4632,24584,2001,1846,11,011111111111,14203,1,1,36
4761,,2001,1557,5,,12457,2,1,-9
4967,1593,2001,299,2,000000000011,2296,1,1,14
5122,14373,2001,564,4,000111100000,5640,1,1,18
5203,,2001,362,1,,2892,2,2,-9
5258,26053,2001,133,1,000000000001,1332,1,2,29
5378,27548,2001,37,8,101111100101,282,1,2,32
5943,,2001,1464,7,,11715,2,3,-9
5985,21226,2001,26,1,000000000001,258,1,5,13
6361,1573,2001,259,1,010000000000,2593,1,2,36
6361,20774,2001,799,4,000100100101,7995,1,2,13
6361,29008,2001,2066,4,111100000000,20658,1,2,13
6522,,2001,303,2,,2331,2,3,-9
6574,9890,2001,806,7,000001111111,6197,1,1,34
6588,15498,2001,6529,12,111111111111,50223,1,3,1
6624,11673,2001,624,3,000101100000,6240,1,1,14
7159,13542,2001,206,2,000000000011,1581,1,3,36
7188,11000,2001,3223,4,000100100101,24790,1,2,1
7234,13995,2001,88,3,000110000010,878,1,1,13
7418,11140,2001,116,5,000000110111,894,1,1,36
7638,19438,2001,4028,12,111111111111,30987,1,2,1
8453,3283,2001,3357,1,000000000001,25823,1,1,1
8551,10202,2001,1952,12,111111111111,15017,1,1,1
8582,5612,2001,646,3,001010000010,4970,1,5,14
8582,14617,2001,1477,6,111111000000,11362,1,3,13
8582,21636,2001,1214,4,010001001100,9336,1,5,36
8644,8310,2001,387,1,000000000001,3873,1,1,13
8707,10562,2001,735,1,000100000000,5653,1,1,34
8727,9200,2001,671,1,000000000001,5165,1,2,1
8945,14233,2001,434,11,011111111111,4338,1,3,36
9629,24139,2001,447,5,111110000000,4473,1,1,14
10110,5790,2001,253,1,001000000000,2531,1,2,1
10110,16194,2001,139,1,000000000001,1390,1,2,1
10110,16317,2001,52,1,010000000000,516,1,2,1
10110,19334,2001,1343,1,010000000000,13428,1,2,1
10110,20188,2001,52,1,010000000000,516,1,2,1
10233,8068,2001,461,3,000010001001,4090,1,3,14
10251,28831,2001,251,1,000000000100,2510,1,2,1
10257,27401,2001,1606,3,000000100110,12355,1,5,36
10560,24651,2001,302,3,010000000011,2320,1,4,14
10938,9403,2001,9,1,010000000000,68,1,3,36
10948,16210,2001,124,1,000000000100,957,1,1,3
11053,,2001,1261,6,,10089,2,4,-9
11225,13466,2001,4028,3,001110000000,30987,1,1,1
11302,17868,2001,607,7,011111110000,4672,1,4,36
11302,23893,2001,254,5,100000001110,1951,1,4,35
11353,18186,2001,7386,12,111111111111,56818,1,2,1
11706,16377,2001,44,2,000000000110,444,1,2,32
12399,29863,2001,1578,5,000010110101,12141,1,3,36
13194,11388,2001,52,1,000000000010,516,1,2,1
13205,1452,2001,5841,1,000000000001,44932,1,1,1
13761,23060,2001,1549,4,001001001001,15494,1,1,1
13844,4350,2001,336,1,000100000000,2582,1,3,36
13932,21177,2001,1046,3,000000000111,10458,1,2,14
13998,22106,2001,62,1,000000000001,481,1,3,36
14140,7195,2001,142,1,000000000001,1420,1,3,14
14140,26239,2001,74,1,000010000000,739,1,3,14
14231,24441,2001,3827,1,000000000001,29438,1,1,1
14273,22025,2001,388,8,001111100111,2985,1,3,32
14453,4161,2001,756,2,000100000010,5815,1,3,17
14826,29810,2001,1007,1,000000000001,7747,1,2,1
14842,14644,2001,23,1,000000010000,175,1,4,36
14931,6961,2001,3290,3,000000001110,25306,1,3,1
14973,8183,2001,147,3,001110000000,1132,1,2,36
15058,11122,2001,325,9,001111111110,3254,1,1,14
15331,12327,2001,52,1,000000000010,516,1,5,1
15415,25979,2001,2412,12,111111111111,18554,1,3,1
15595,17527,2001,60,5,100010011010,461,1,2,36
15900,26647,2001,1506,9,000111111111,11585,1,2,36
15996,25827,2001,2582,11,011111111111,25823,1,2,1
16035,10285,2001,580,8,000011111111,4465,1,3,36
16253,6715,2001,385,12,111111111111,2964,1,2,36
16764,20845,2001,1210,2,001000000100,9308,1,2,13
16767,19268,2001,1038,7,001111100101,10381,1,3,4
16771,8411,2001,134,3,001101000000,1029,1,3,14
17095,16873,2001,125,4,110101000000,965,1,1,32
17499,7289,2001,1680,4,001001001001,12919,1,1,1
17864,18805,2001,2074,2,000001000001,20741,1,1,1
17909,,2001,424,2,,3392,2,1,-9
18004,3965,2001,1088,2,000000100100,8367,1,1,29
18020,13902,2001,1373,4,000101010100,10564,1,3,36
18048,26484,2001,132,1,000000000001,1013,1,1,36
18224,26066,2001,278,10,011111110111,2137,1,2,13
18324,27167,2001,129,1,100000000000,1291,1,3,14
18438,,2001,448,4,,3586,2,1,-9
18546,19032,2001,2686,3,000001110000,20658,1,3,1
18613,6551,2001,3357,1,000010000000,25823,1,1,1
18671,30819,2001,4028,10,010111111111,30987,1,3,36
18761,28881,2001,258,1,000000000001,2582,1,1,1
19060,28715,2001,226,2,000000000011,1736,1,1,35
19105,27873,2001,1898,7,111111100000,14600,1,1,13
19318,9403,2001,53,2,000000001100,405,1,3,36
19812,28955,2001,1047,10,011111101111,8057,1,2,36
19849,24784,2001,50,1,000000001000,381,1,1,34
20611,2753,2001,806,2,000000100001,6197,1,5,13
20695,30010,2001,802,6,011110000011,6166,1,1,24
21039,14705,2001,444,3,110100000000,3413,1,3,36
21180,6090,2001,5316,12,111111111111,40891,1,2,32
21225,26043,2001,17,1,000100000000,131,1,3,36
21524,7887,2001,780,8,000011111111,5999,1,2,20
21524,28820,2001,321,10,111111110110,2471,1,3,14
21535,,2001,1852,5,,14246,2,3,-9
21564,6159,2001,1611,1,000000000001,12395,1,2,1
21695,1611,2001,955,3,000001010001,9554,1,2,1
22004,25945,2001,558,4,001001001001,5578,1,2,13
22012,9403,2001,1079,11,011111111111,8299,1,3,36
22012,,2001,209,1,,1608,2,3,-9
22071,8986,2001,1003,6,111111000000,10030,1,4,1
22078,24293,2001,171,3,000000000111,1319,1,2,26
22150,27548,2001,6,1,100000000000,48,1,2,32
22150,28642,2001,198,6,011000010111,1526,1,1,32
22492,19408,2001,119,1,000000000001,918,1,2,14
22602,,2001,1031,6,,7933,2,3,-9
22613,19435,2001,1132,12,111111111111,8708,1,1,36
22625,26519,2001,98,3,001001010000,751,1,1,26
22633,2836,2001,2064,11,011111111111,20643,1,1,1
22693,21186,2001,730,1,000000000010,7300,1,1,1
22859,27858,2001,5832,11,011111111111,44864,1,2,1
22966,25826,2001,620,7,000001111111,6197,1,3,34
23035,13541,2001,192,9,011111101110,1474,1,1,36
23300,7303,2001,969,12,111111111111,7453,1,2,36
23300,15768,2001,134,1,000000000001,1033,1,2,14
23300,22009,2001,671,1,000000000001,5165,1,2,14
23645,9804,2001,4338,1,000000000001,43382,1,2,1
23799,11003,2001,5311,12,111111111111,40856,1,2,1
23824,28510,2001,1678,4,000010100110,12911,1,5,5
24642,4940,2001,4777,2,000010000001,36746,1,1,29
24642,28026,2001,806,1,000000000001,6197,1,1,1
24685,26583,2001,60,1,000010000000,465,1,1,20
24960,20423,2001,67,2,000000000011,512,1,2,26
25160,23272,2001,17,1,000000000010,170,1,3,1
25788,,2001,514,3,,3957,2,1,-9
25863,15028,2001,1640,2,100000010000,16400,1,1,13
25863,15712,2001,300,1,010000000000,3000,1,1,13
26491,16732,2001,5750,12,111111111111,44233,1,1,1
26501,22206,2001,3928,9,011111111100,30213,1,3,36
26642,2844,2001,97,1,000000000001,743,1,1,36
26733,18110,2001,319,6,110011110000,2451,1,1,36
26932,,2001,254,1,,2032,2,5,-9
27255,14885,2001,126,2,000000001100,969,1,3,32
27284,20132,2001,369,2,000000010001,2841,1,1,1
27427,30548,2001,806,6,000000111111,8062,1,4,5
27950,16923,2001,9936,6,111111000000,76431,1,2,13
28001,19081,2001,2066,2,000001000010,20658,1,1,36
28094,13900,2001,331,1,000000000001,3305,1,2,1
28189,23408,2001,665,3,000000110010,5113,1,1,13
28225,,2001,59,2,,453,2,4,-9
28473,12886,2001,13,1,000000100000,99,1,4,32
28491,26468,2001,212,5,000111110000,1629,1,3,34
28591,3619,2001,98,3,000100010001,980,1,5,1
28716,11277,2001,258,2,000000000011,1986,1,3,1
28716,14906,2001,409,5,000001111100,3142,1,3,24
28731,,2001,3855,6,,29657,2,3,-9
28908,24895,2001,1365,12,111111111111,13650,1,1,1
29189,,2001,1373,2,,10560,2,1,-9
29797,29271,2001,1158,5,000000111110,11579,1,1,1
29837,11845,2001,695,6,000000111111,5347,1,2,36
29859,20154,2001,71,2,000110000000,544,1,3,13
30258,25261,2001,611,7,000111110110,4700,1,3,36
30473,,2001,6801,3,,52319,2,2,-9
30514,4184,2001,2017,9,101111110110,15514,1,1,13
30533,,2001,793,5,,6100,2,1,-9
31155,23835,2001,1209,5,000011111000,9296,1,1,26
31230,17004,2001,21,2,000000000011,207,1,1,4
31241,537,2001,1739,10,001111111111,13376,1,1,1
31628,2705,2001,2646,10,111111111100,20356,1,3,13
31708,3106,2001,496,12,111111111111,3815,1,1,32
31959,28642,2001,142,6,011000001111,1093,1,1,32
31977,30424,2001,806,9,000111111111,6197,1,3,1
32240,26367,2001,4297,1,000000000001,33053,1,4,1
32265,19850,2001,336,2,001000100000,2582,1,1,36
32423,30296,2001,626,3,000000010101,4815,1,2,13
32469,18645,2001,895,10,011111111110,6881,1,3,36
32690,9184,2001,353,2,011000000000,2717,1,1,29
32735,11789,2001,253,2,000000000011,1947,1,3,36
32743,6697,2001,8057,4,001001001001,61975,1,1,1
32894,4575,2001,155,1,000000000001,1550,1,3,1
33080,11930,2001,4029,4,001001001001,30992,1,1,36
33240,24848,2001,1727,11,011111111111,17270,1,2,1
33244,6010,2001,1154,5,010101010100,8875,1,2,36
33277,21924,2001,3122,11,111111111110,24015,1,2,32
33294,25516,2001,1704,3,001000100001,17040,1,1,1
33485,9721,2001,177,6,111111000000,1766,1,3,36
33785,14005,2001,2058,10,001111111111,15827,1,3,1
33997,15994,2001,676,1,000000000001,5200,1,3,1
34139,11772,2001,9937,3,011001000000,76438,1,3,36
34254,8078,2001,313,2,000000000011,2411,1,1,13
34269,20307,2001,1088,3,000001001001,8367,1,3,36
34501,10592,2001,2239,12,111111111111,22388,1,1,1
34539,27548,2001,14,3,000110100000,111,1,2,32
34841,7492,2001,620,1,000000000001,6197,1,2,1
34877,11168,2001,92,6,001011110100,707,1,3,32
34885,12755,2001,413,1,000000000001,4132,1,2,1
35031,20414,2001,168,1,000000000001,1291,1,2,15
35262,1257,2001,6092,4,000100100101,46862,1,2,1
35307,,2001,1680,7,,12927,2,1,-9
35619,4888,2001,166,3,000000001011,1275,1,2,36
35750,29553,2001,1762,12,111111111111,13551,1,1,36
35786,6497,2001,3965,12,111111111111,39654,1,1,36
35977,26878,2001,215,1,000000000001,1654,1,4,26
36119,5490,2001,654,6,000000111111,5033,1,3,36
36195,12685,2001,907,6,111100000011,6980,1,3,36
36276,17198,2001,843,12,111111111111,6484,1,1,26
36749,21505,2001,2482,11,011111111111,24816,1,2,1
36754,19301,2001,193,2,000000000011,1926,1,2,14
36772,11554,2001,78,3,000000000111,600,1,2,32
36975,,2001,2044,3,,16352,2,1,-9
37079,1507,2001,2350,1,000001000000,18076,1,3,1
37214,28369,2001,5035,1,000000100000,38734,1,2,1
37242,13017,2001,1913,1,000000000010,14719,1,3,36
37272,2974,2001,310,1,000000000001,3099,1,1,1
37417,26779,2001,258,2,000001000001,2582,1,3,1
37449,,2001,1104,2,,8490,2,2,-9
37693,19684,2001,79,2,000110000000,790,1,3,1
37738,3314,2001,1178,11,011111111111,11775,1,1,1
37791,2065,2001,286,2,000000001001,2201,1,3,14
37791,10871,2001,101,1,000010000000,775,1,4,36
38343,22203,2001,48,1,000000000001,369,1,3,36
38518,9280,2001,201,3,010000001100,1549,1,1,36
38530,6360,2001,13,1,000000000010,103,1,1,4
38693,16308,2001,1029,6,000001110111,7914,1,3,36
38787,,2001,1649,9,,13193,2,1,-9
38818,,2001,8785,4,,67573,2,1,-9
38863,1250,2001,2414,1,000100000000,24144,1,2,1
38863,7459,2001,11,1,000000000001,110,1,2,1
38863,8412,2001,93,1,000000010000,930,1,2,1
38863,12165,2001,3860,1,000000000001,38600,1,2,1
38863,20524,2001,2182,2,000001000001,21820,1,2,1
38863,21719,2001,5,1,000000000010,52,1,2,1
38863,21916,2001,114,1,000000000001,1140,1,2,1
38863,23839,2001,45,1,000000000001,450,1,2,1
39071,,2001,2351,3,,18085,2,1,-9
39269,28241,2001,1291,1,000000000001,12911,1,1,1
39276,6048,2001,187,1,000000000001,1438,1,1,14
39360,20120,2001,67,1,000000000001,515,1,4,36
39360,29762,2001,7723,2,000001000001,59404,1,3,1
39565,19337,2001,1724,12,111111111111,17239,1,2,1
39648,9707,2001,2686,2,000001000010,20658,1,2,1
39972,5870,2001,419,3,101100000000,3222,1,1,32
39972,21924,2001,295,12,111111111111,2268,1,2,32
39987,21020,2001,105,2,001100000000,810,1,2,36
40008,2274,2001,337,4,001010100001,2590,1,1,14
40036,12819,2001,60,1,000000000001,461,1,1,36
40242,6497,2001,3965,12,111111111111,39654,1,1,36
40252,28642,2001,111,7,011000011111,850,1,1,32
40468,10047,2001,336,1,000000000001,2585,1,1,36
40661,22635,2001,1893,1,000000000001,14564,1,4,1
41089,4192,2001,2471,1,000000000001,19006,1,3,1
41471,1528,2001,1843,12,111111111111,18427,1,1,36
41668,6832,2001,23,1,100000000000,175,1,2,14
41964,7991,2001,7385,11,011111111111,56810,1,1,1
42363,12904,2001,7251,12,111111111111,55777,1,1,1
42410,27096,2001,660,5,011111000000,5073,1,1,36
42572,17939,2001,3223,12,111111111111,24790,1,1,1
42613,,2001,3601,7,,27696,2,3,-9
42623,,2001,311,1,,2392,2,3,-9
42635,9133,2001,67,1,000001000000,516,1,5,14
42635,26217,2001,823,1,000000010000,6329,1,5,14
42741,,2001,7167,3,,55131,2,1,-9
43032,11803,2001,1826,9,000111111111,14048,1,3,1
43507,2803,2001,671,2,000100000001,5161,1,4,13
43602,,2001,2278,4,,17525,2,3,-9
43619,7592,2001,1033,1,000000000001,10329,1,1,1
43815,2638,2001,1033,7,001011101101,7946,1,3,14
43900,272,2001,135,8,000011111111,1041,1,3,32
44005,23612,2001,2395,9,111011011011,18422,1,2,32
44086,4819,2001,423,4,000001010101,3254,1,3,1
44149,17011,2001,1390,8,000111111011,10691,1,3,36
44184,27548,2001,5,2,100100000000,36,1,2,32
44253,1708,2001,491,2,000001100000,4906,1,2,17
44339,5714,2001,4028,12,111111111111,30987,1,1,36
44384,,2001,97,1,,776,2,1,-9
44466,27548,2001,3,2,000000000110,24,1,2,32
44655,18691,2001,42,2,000000000011,326,1,3,36
44754,21924,2001,24,1,100000000000,187,1,2,32
44807,18898,2001,288,1,000001000000,2882,1,3,14
44986,9538,2001,252,1,000000000010,1939,1,1,13
45046,5229,2001,134,1,000000000100,1029,1,1,5
45046,24139,2001,537,1,000000000010,4132,1,1,14
45152,2688,2001,222,3,000000000111,1704,1,3,36
45180,29599,2001,1162,1,000000000001,11620,1,4,1
45258,11497,2001,79,2,000000000011,604,1,2,29
45309,13334,2001,10,1,000000000001,103,1,3,1
45494,,2001,603,1,,4638,2,2,-9
45507,17610,2001,336,2,001000000001,2582,1,2,36
45539,,2001,2490,8,,19157,2,1,-9
45672,2615,2001,92,1,000000000001,711,1,4,36
45749,28456,2001,4028,9,000111111111,30987,1,3,1
45987,16096,2001,1996,11,101111111111,15351,1,1,1
46177,16353,2001,1611,12,111111111111,12395,1,2,13
46354,15946,2001,3357,1,000000000001,25823,1,1,1
46415,26021,2001,557,6,011111100000,4287,1,4,13
46433,25822,2001,550,1,000000001000,5500,1,3,1
46532,23791,2001,5969,12,111111111111,45913,1,1,13
46557,,2001,1566,3,,12048,2,1,-9
46615,9934,2001,157,1,000000000001,1208,1,1,1
46634,610,2001,786,9,010110111111,6043,1,3,36
47004,24693,2001,271,4,000000001111,2082,1,4,1
47122,1265,2001,1846,11,111111111110,14203,1,3,1
47279,12929,2001,577,2,000010000010,4438,1,1,14
47279,14818,2001,332,3,000000000111,2554,1,1,36
47349,4414,2001,48,1,000000000001,365,1,2,29
47349,8508,2001,367,9,111111000111,2821,1,2,26
47618,2085,2001,8,1,000000000100,60,1,1,36
47647,29177,2001,318,2,000011000000,2447,1,3,36
47799,20817,2001,1676,10,111111010111,12892,1,1,13
47965,18998,2001,761,2,001010000000,5852,1,1,36
48086,7020,2001,5585,10,101111111110,42965,1,3,1
48086,14428,2001,919,1,000000000001,7068,1,3,1
48141,15069,2001,1450,3,000100010010,11154,1,1,14
48365,24960,2001,9,1,001000000000,69,1,3,14
48460,,2001,2054,3,,15799,2,2,-9
48695,15616,2001,806,6,000111111000,6197,1,1,36
49288,13326,2001,3099,1,000000000001,30987,1,2,1
49288,27842,2001,3099,1,000000000100,30987,1,2,1
49547,,2001,2711,2,,21687,2,1,-9
49623,11496,2001,68,1,000000000001,524,1,4,14
49681,26405,2001,6032,12,111111111111,46402,1,1,1
49869,11314,2001,1924,6,011010101010,14798,1,1,14
49927,9988,2001,3935,10,001111111111,39354,1,1,13
49927,19336,2001,2212,8,001110111110,22120,1,1,13
50034,21328,2001,1416,11,111111111110,10889,1,3,36
50140,17037,2001,2520,10,111111111100,19385,1,3,1
50186,28510,2001,1718,10,101111101111,13213,1,5,5
50299,5549,2001,669,7,000011111110,5145,1,2,36
50396,,2001,3535,10,,27189,2,2,-9
50516,16872,2001,4156,8,011111111000,31973,1,2,1
50993,15407,2001,4032,11,011111111111,31015,1,2,1
51426,,2001,3077,6,,23673,2,2,-9
51644,12893,2001,168,1,010000000000,1291,1,2,13
51759,,2001,2436,12,,18736,2,2,-9
51961,4796,2001,6146,11,011111111111,47276,1,1,36
52021,20049,2001,618,1,000000000001,4754,1,1,13
52021,26145,2001,7416,11,111111111110,57046,1,1,13
52439,11174,2001,2966,12,111111111111,29660,1,2,13
52692,14908,2001,1636,8,000011111111,12586,1,3,1
52757,13335,2001,124,1,010000000000,957,1,2,35
53407,23282,2001,406,2,000001000001,3127,1,2,29
53420,24408,2001,1687,9,011111101110,12975,1,4,32
53553,21635,2001,71,1,000100000000,548,1,1,14
53653,16168,2001,413,11,111111111110,3178,1,3,36
53653,25074,2001,418,12,111111111111,3214,1,3,36
53997,,2001,1265,2,,9733,2,3,-9
54446,9960,2001,516,6,000000111111,5165,1,4,13
54528,4547,2001,6354,2,001001000000,63545,1,1,1
54559,25215,2001,310,1,100000000000,3100,1,3,1
54837,,2001,506,2,,3893,2,2,-9
54851,30678,2001,845,10,011111110111,8449,1,1,26
55605,1637,2001,56,1,000000000010,429,1,4,36
55633,5881,2001,671,2,000100000100,5165,1,2,1
55633,28301,2001,1678,2,000100000100,12911,1,2,1
55803,25151,2001,134,1,010000000000,1340,1,2,1
55839,7639,2001,9026,12,111111111111,69432,1,3,1
56074,15444,2001,1553,6,000000111111,15530,1,1,1
56474,342,2001,557,4,001001001001,5573,1,2,36
56495,28629,2001,9938,1,000000100000,76444,1,1,1
56644,13050,2001,437,6,000000111111,4374,1,2,13
56747,24167,2001,4702,11,011111111111,36169,1,1,1
56751,,2001,1610,6,,12383,2,1,-9
56795,14950,2001,138,2,000000000011,1379,1,2,35
56804,12317,2001,1155,12,111111111111,8883,1,3,36
57022,4530,2001,92,3,000000000111,711,1,3,18
57041,14950,2001,217,5,000010010111,2169,1,2,35
57095,,2001,776,1,,5969,2,3,-9
57098,2635,2001,9938,9,111111111000,76443,1,2,1
57183,15352,2001,672,7,000001111111,5169,1,1,35
57330,1558,2001,759,8,110101111100,5840,1,2,13
57330,11106,2001,3817,5,000010100111,29362,1,2,13
57505,12533,2001,930,11,011111111111,9296,1,1,36
57601,2965,2001,2350,9,000111111111,18076,1,2,1
57754,23387,2001,182,4,000000001111,1402,1,1,36
58090,4320,2001,1343,7,111111100000,10329,1,2,13
58193,22964,2001,1548,5,000100101101,15478,1,2,17
58607,11456,2001,316,2,001000100000,3161,1,1,14
58611,437,2001,2479,2,000000000011,19069,1,1,1
58617,14402,2001,318,2,000000110000,2443,1,3,2
58719,16377,2001,5,1,000000000001,46,1,2,32
58828,21755,2001,262,2,000000110000,2018,1,3,36
59037,13193,2001,808,5,000010101011,8077,1,3,1
59062,11652,2001,672,4,000011110000,5169,1,1,13
59070,12102,2001,339,3,000000000111,2606,1,2,36
59220,,2001,560,1,,4308,2,1,-9
59302,5632,2001,18,1,000000000001,176,1,1,36
59737,27303,2001,18,1,000000000001,176,1,2,14
59817,,2001,1112,3,,8897,2,2,-9
59997,3106,2001,205,9,011110111110,2050,1,1,32
60469,30321,2001,1398,7,000111101011,10754,1,2,29
60574,3090,2001,513,7,000001111111,3946,1,1,26
60577,20930,2001,839,5,111110000000,6456,1,5,1
60780,24726,2001,3254,11,011111111111,25028,1,2,1
60895,8696,2001,40,1,000000001000,310,1,1,20
60895,22560,2001,323,1,000000000001,2483,1,1,36
61165,15179,2001,5090,10,111101111110,39151,1,3,1
61172,,2001,5398,7,,41521,2,1,-9
61346,13861,2001,281,1,000000000100,2165,1,2,36
61387,3733,2001,1055,8,000111101111,10546,1,2,1
61723,5748,2001,609,7,000001111111,4688,1,2,1
62116,3668,2001,96,2,001100000000,739,1,5,32
62250,10225,2001,7311,2,101000000000,56238,1,2,1
62413,,2001,193,1,,1541,2,2,-9
62437,15069,2001,143,2,000010001000,1292,1,1,13
62592,3932,2001,775,1,000000000100,7747,1,2,1
62613,1132,2001,4276,10,001111111111,37185,1,1,1
62620,1060,2001,99,1,000000000100,986,1,2,26
62891,8215,2001,6,1,000000000001,62,1,2,1
62940,28860,2001,201,2,000001100000,1549,1,1,36
63247,,2001,1309,5,,10472,2,2,-9
63378,6304,2001,1120,4,000000001111,11200,1,1,13
63799,11842,2001,765,1,000000001000,7654,1,4,1
63804,20258,2001,131,1,000000000010,1005,1,4,36
63826,4566,2001,516,2,000000000101,5165,1,2,1
63826,14782,2001,196,1,000000000001,1963,1,2,26
63826,15273,2001,620,1,000000100000,6197,1,2,1
63840,9849,2001,1774,12,111111111111,13646,1,1,36
64243,30014,2001,287,3,101000001000,2205,1,1,36
64275,2082,2001,155,1,000000000001,1192,1,1,36
64412,16137,2001,212,4,111100000000,1633,1,2,32
64535,28468,2001,1232,6,000011111100,9479,1,1,13
64608,8523,2001,57,1,000000000001,570,1,3,34
64608,23989,2001,116,1,010000000000,1162,1,3,1
64838,19487,2001,129,1,000000000001,993,1,5,14
65036,22064,2001,85,1,000000001000,852,1,2,14
65061,17674,2001,6136,7,000001111111,47200,1,1,1
65063,,2001,2292,3,,18320,2,1,-9
65071,,2001,5993,3,,46103,2,2,-9
65144,10809,2001,139,1,010000000000,1073,1,3,13
65777,27126,2001,179,2,010000100000,1379,1,2,14
65783,15594,2001,1240,7,000001111111,12400,1,3,1
65793,3787,2001,858,2,110000000000,6603,1,1,36
65807,18674,2001,366,1,000000000001,3657,1,5,36
65807,22736,2001,1913,12,111111111111,19135,1,5,36
65969,,2001,1047,3,,8050,2,3,-9
66251,4087,2001,122,1,000000000001,1219,1,5,14
66544,14384,2001,3100,12,111111111111,23848,1,2,36
66574,26862,2001,3944,8,100111110000,39440,1,4,1
66955,30969,2001,9937,2,001000001000,76438,1,1,1
67324,26675,2001,9938,2,000100100000,76444,1,1,1
67603,20886,2001,45,1,000000000010,350,1,1,32
67609,26282,2001,4028,10,011111101111,30987,1,3,36
67760,23429,2001,9937,4,111100000000,76440,1,1,1
67933,7253,2001,2710,10,001111111111,20846,1,2,36
68270,10508,2001,2582,1,000000000001,25823,1,1,1
68270,24475,2001,1924,1,000000000001,19238,1,1,1
68270,25286,2001,3139,1,000000001000,31385,1,1,1
68506,,2001,1436,4,,11046,2,4,-9
68514,11159,2001,580,12,101111111111,5553,1,2,1
68541,3863,2001,527,2,000000100001,5268,1,5,1
68541,9811,2001,1456,1,100000000000,14560,1,5,1
68541,30340,2001,202,1,000000010000,2019,1,5,1
68541,,2001,2736,1,,21888,2,5,-9
68545,2824,2001,53,1,000000000001,409,1,4,14
68562,17334,2001,1,1,000000010000,8,1,3,32
68661,30513,2001,31,2,000001100000,310,1,2,36
68805,9286,2001,168,1,000000000001,1292,1,1,36
68805,11075,2001,667,2,000000000011,5133,1,1,14
68805,28097,2001,1092,7,000011111110,8400,1,1,36
69111,22022,2001,5238,6,011011001010,40292,1,2,1
69467,,2001,313,3,,2505,2,2,-9
69537,22572,2001,1337,11,011111111111,13366,1,1,1
69699,786,2001,139,1,000000000010,1069,1,3,36
70000,13390,2001,440,5,111110000000,3381,1,1,36
70032,1285,2001,561,4,000000111100,4314,1,3,20
70063,18108,2001,1450,7,000001111111,11155,1,1,13
70063,22324,2001,487,6,001110100110,3746,1,1,13
70103,15862,2001,2995,2,000001000001,29954,1,2,1
70155,27256,2001,979,9,011110101111,7528,1,1,36
70302,4588,2001,761,8,000011111111,7613,1,3,36
70371,7421,2001,27,1,100000000000,211,1,1,36
70381,3656,2001,333,3,001010100000,2558,1,1,13
70381,28997,2001,2608,7,011101100011,20058,1,1,36
70448,,2001,988,3,,7597,2,1,-9
70466,30887,2001,5237,12,111111111111,40284,1,1,1
70529,22068,2001,456,2,000000000011,3508,1,2,36
70723,,2001,195,3,,1522,2,4,-9
71269,29897,2001,376,4,010101000100,2892,1,1,13
71296,8420,2001,40,1,000000001000,310,1,3,4
71296,23280,2001,2238,1,000000000100,17214,1,1,36
71436,8861,2001,2216,9,000111111111,17043,1,1,13
71436,25238,2001,9938,7,001111011100,76444,1,2,1
71452,12989,2001,5908,9,010101111111,45448,1,1,1
71499,23668,2001,1343,2,000000000011,10329,1,2,1
71645,3444,2001,40,1,000000100000,310,1,3,36
71645,29863,2001,1375,6,000101101011,10579,1,3,36
71743,,2001,803,1,,6177,2,3,-9
71937,7294,2001,63,1,000010000000,485,1,1,36
71968,17798,2001,28,1,000010000000,215,1,1,1
72088,3891,2001,336,1,001000000000,3357,1,4,36
72197,,2001,5585,3,,42964,2,1,-9
72369,16784,2001,11,1,000000001000,114,1,3,4
72452,24859,2001,3615,1,000000000001,36152,1,1,1
72462,19878,2001,38,3,000000000111,290,1,4,14
72684,,2001,2962,3,,23697,2,3,-9
